name,pl_orbsmax
d435,0
d436,1.25
d437,0
d438,0.2073
d439,0.1366
d440,0.1502
d441,0.1132
d442,0.0719
d443,0
d444,0
d445,0.0909
d446,0.0674
d447,0.034
d448,0.0529
d449,0.1231
d450,0
d451,0.0915
d452,0.1892
d453,0
d454,0.229
d455,0.0188
d456,3.95
d457,0
d458,0.4297
d459,0.04117
d460,0.18
d461,0.105
d462,0
d463,0.1343
d464,0.182
d465,0.1647
d466,0.0344
d467,0.0506
d468,0.05
d469,0.6676
d470,0.0697
d471,0.0337
d472,0.0492
d473,0.0419
d474,0.0438
d475,0.1326
d476,0.144
d477,0.3771
d478,0.1259
d479,0.1243
d480,0.0903
d481,0.0302
d482,0.04067
d483,0.249
d484,0.038
d485,0.178
d486,0.154
d487,0.05125
d488,0.0298
d489,0.049
d490,0
d491,0.073
d492,0.104
d493,0.115
d494,1.6
d495,0.02
d496,0.0585
d497,2.07
d498,0.1957
d499,0.1249
d500,0.0514
d501,0.03878
d502,0.05071
d503,9.00E-08
d504,0.0915
d505,0.0489
d506,0.0461
d507,0
d508,0.3025
d509,0.9166
d510,0.05235
d511,0.0761
d512,0.023
d513,0.0153
d514,0.0658
d515,0.0376
d516,0.066
d517,0.1295
d518,0.03048
d519,0.2855
d520,0.0296
d521,0
d522,0.1126
d523,0.1354
d524,0.0302
d525,0.0258
d526,0.384
d527,0.0747
d528,1.064
d529,0.2281
d530,0.102
d531,-0.0029
d532,0.0307
d533,0
d534,0.4671
d535,0.0835
d536,0
d537,0.48
d538,1.497
d539,0.04012
d540,0.0217
d541,0
d542,0.1186
d543,0
d544,0.0979
d545,0.0588
d546,0.0655
d547,0.0634
d548,0.1058
d549,0.0428
d550,0
d551,0.04899
d552,0.0252
d553,4.2
d554,0
d555,0.5456
d556,0.3244
d557,4.43
d558,0
d559,0.3931
d560,0.1424
d561,0.71
d562,0.0415
d563,0.77
d564,0.219
d565,1.369
d566,0.0799
d567,0.051
d568,0.2514
d569,0.0423
d570,0.3653
d571,0.3859
d572,1.051
d573,0.159
d574,0
d575,0.091
d576,0.1019
d577,0.228
d578,0.95
d579,0.104
d580,0
d581,1.45
d582,0.0549
d583,0.1826
d584,0.0462
d585,0.1925
d586,0.3775
d587,0.115
d588,0.0512
d589,0.3076
d590,0.1194
d591,0.102
d592,0
d593,0.0285
d594,0.245
d595,0.1759
d596,0.228
d597,0.676
d598,0.3928
d599,0.045
d600,0.0399
d601,0.0814
d602,0.0246
d603,0
d604,0.0529
d605,0.1016
d606,0.1164
d607,0.041
d608,0
d609,0.207
d610,0.064
d611,0
d612,0.04683
d613,0.356
d614,0.0378
d615,0.0372
d616,-0.01
d617,0.1931
d618,0.052
d619,0
d620,0
d621,0.393
d622,0.3502
d623,0.1761
d624,0.1656
d625,0.098
d626,0.0113
d627,0.2212
d628,0.0742
d629,0.1189
d630,0.1055
d631,0.1847
d632,0
d633,0.242
d634,0.052
d635,0.0761
d636,0.1833
d637,0.03
d638,0.1243
d639,0.0699
d640,0
d641,0.2944
d642,6.56
d643,0.0903
d644,0.1287
d645,0.0506
d646,0.0548
d647,0.02641
d648,0.0938
d649,0.02987
d650,0.0935
d651,0.0571
d652,0.3704
d653,0.0412
d654,0.0894
d655,0.1609
d656,0.1658
d657,0.1232
d658,0.0548
d659,0.0529
d660,0.081
d661,0.044
d662,0.0547
d663,0.2524
d664,0
d665,0.0376
d666,0.4024
d667,0.094
d668,2.01
d669,0.13
d670,0.173
d671,0.0522
d672,0.0515
d673,0.0837
d674,0.053
d675,0
d676,0
d677,0.1184
d678,0.4352
d679,0.0522
d680,0.0472
d681,0.04
d682,2.7
d683,0.0349
d684,3.4
d685,0.106
d686,0.1649
d687,0.077
d688,0
d689,0.2254
d690,0.2534
d691,0.1478
d692,0.213
d693,0.2698
d694,0.0845
d695,0.037
d696,0.0771
d697,0.102
d698,0.162
d699,0
d700,0
d701,5.461
d702,0.0614
d703,0.0948
d704,0
d705,0.3212
d706,0
d707,0.1047
d708,0
d709,0.0529
d710,0.0972
d711,0.143
d712,0.2769
d713,0.1257
d714,0.0606
d715,0.0703
d716,0.1633
d717,0.2001
d718,0.1088
d719,0.0482
d720,0.0619
d721,0.0275
d722,0.035
d723,0.02643
d724,0.0793
d725,0.0763
d726,0.1718
d727,0.0457
d728,0.1089
d729,0.2898
d730,0.052
d731,0.035
d732,0.0282
d733,0.0058
d734,0.0547
d735,0.3835
d736,0.1463
d737,0.1084
d738,0.072
d739,0.142
d740,0.0151
d741,0.1155
d742,0.052
d743,0
d744,0
d745,1.37
d746,0.1857
d747,0.113
d748,0.0487
d749,0.0113
d750,0.253
d751,0.1381
d752,0.06
d753,0.296
d754,0.2542
d755,0
d756,0
d757,0.0558
d758,0.0593
d759,0.0777
d760,0.1597
d761,0.0697
d762,0.0521
d763,0.0484
d764,0
d765,0.0442
d766,0.0187
d767,0.067
d768,0.03842
d769,0
d770,0.048
d771,0.693
d772,0.0674
d773,0.0152
d774,0.0366
d775,0.102
d776,0.107
d777,1.4
d778,0.0537
d779,0.0554
d780,0.3
d781,0.588
d782,0.36
d783,0.472
d784,0.077
d785,0.26
d786,0.0474
d787,0.144
d788,0.083
d789,0
d790,0.0358
d791,0.072
d792,0.1153
d793,0.0735
d794,2.07
d795,0
d796,0.1106
d797,-0.0014022
d798,5.38
d799,0.1112
d800,0.0557
d801,0.0613
d802,0
d803,-0.0001
d804,0.1602
d805,0.2393
d806,0.0928
d807,0.228
d808,0
d809,0.0843
d810,0.177
d811,0
d812,0.0846
d813,0
d814,0
d815,0.0399
d816,0.1693
d817,0
d818,0.082
d819,0.0632
d820,0.128
d821,0.1103
d822,0.049
d823,0.0934
d824,0.1057
d825,0.4383
d826,0.1332
d827,0.05595
d828,0.1297
d829,0.156
d830,0.0408
d831,0.0583
d832,0.0724
d833,0.425
d834,0.1218
d835,0.1047
d836,0.0784
d837,0.128
d838,0.3453
d839,0.4494
d840,0.0443
d841,0.1077
d842,0.0485
d843,0.0486
d844,0.1337
d845,0.01782
d846,0.0514
d847,0.0571
d848,0.0224
d849,0.235
d850,0.0171
d851,0.063
d852,0
d853,0.2053
d854,0.0703
d855,0.0333
d856,0.1008
d857,0.1063
d858,0.0908
d859,0.0907
d860,0
d861,0.6428
d862,0
d863,0
d864,0.017
d865,0.1645
d866,0.0299
d867,7.73
d868,0.448
d869,0.69
d870,0.054
d871,0.1694
d872,0.0919
d873,0.0791
d874,0.0898
d875,2.91
d876,0.0734
d877,0.0771
d878,0.0468
d879,0
d880,0
d881,0
d882,0.1091
d883,0.5001
d884,0.0316
d885,-0.001
d886,0.033
d887,0
d888,0.0408
d889,0.0374
d890,0.1798
d891,0.134
d892,0.0634
d893,1.2
d894,0.2561
d895,0.1756
d896,0.0331
d897,0.2061
d898,0.1068
d899,0.0647
d900,0.0478
d901,0.4786
d902,0.0286
d903,0
d904,0.1077
d905,12
d906,0
d907,0.024
d908,0.0557
d909,0
d910,0.06
d911,0
d912,0
d913,0.0489
d914,0.0424
d915,0.3769
d916,0.127
d917,0.2327
d918,0.2199
d919,0.086
d920,0.0279
d921,-7.00E-05
d922,1.18
d923,0
d924,0.04449
d925,0.1205
d926,0.0701
d927,0.0344
d928,0.124
d929,23
d930,0.0152
d931,0.0686
d932,0
d933,0.0597
d934,0.1664
d935,0.0881
d936,0.1949
d937,0.1017
d938,0.1083
d939,0.0879
d940,0.098
d941,0
d942,0
d943,0.1769
d944,0.0423
d945,0.0486
d946,0.0232
d947,0.1072
d948,0.1333
d949,1.68
d950,0
d951,0.0535
d952,0.1126
d953,1.02
d954,0.0345
d955,3
d956,0.052
d957,0.0343
d958,0.0762
d959,0
d960,0
d961,0.1053
d962,0.06067
d963,0.0126
d964,0.029
d965,0.1059
d966,0.0806
d967,0
d968,0.1528
d969,0.1321
d970,0.085
d971,0.08
d972,0
d973,0
d974,0.04565
d975,0.1067
d976,0.037
d977,0.2502
d978,0.0419
d979,0.9712
d980,0.2323
d981,0
d982,0.032
d983,0
d984,0.1362
d985,0.0735
d986,0.223
d987,0.0187
d988,0.2657
d989,0
d990,1.2
d991,0.0423
d992,0.0339
d993,0.108
d994,0.0448
d995,0.208
d996,0.036
d997,0
d998,0.03793
d999,0.0348
d1000,0.02712
d1001,0.0166
d1002,0.334
d1003,0.104
d1004,0.124
d1005,0.0954
d1006,0
d1007,0.1557
d1008,0.9045
d1009,0.0258
d1010,0.059
d1011,0
d1012,0.0403
d1013,0.297
d1014,0.1053
d1015,0.0762
d1016,0.2863
d1017,0.05259
d1018,0.0378
d1019,0.0479
d1020,0.0453
d1021,0
d1022,0.0469
d1023,0.04134
d1024,0.0658
d1025,0.1805
d1026,0
d1027,2.059
d1028,0.1917
d1029,0.0562
d1030,0.4235
d1031,0.8
d1032,0.0888
d1033,0.1006
d1034,1.02
d1035,0.0465
d1036,1.57
d1037,0.057
d1038,0.15
d1039,0.066
d1040,0.0636
d1041,0.047
d1042,0.036
d1043,0.2287
d1044,0
d1045,0.1011
d1046,0.044
d1047,0.1156
d1048,0.045
d1049,0.3685
d1050,0.0837
d1051,56
d1052,0.1178
d1053,0.1557
d1054,0.39
d1055,0.721
d1056,0.095
d1057,0.049
d1058,0.219
d1059,0.1521
d1060,0.5162
d1061,0.63
d1062,0.0964
d1063,0.02276
d1064,0
d1065,0.06
d1066,0.102
d1067,0.056
d1068,0.099
d1069,0.1326
d1070,0.0905
d1071,0.0507
d1072,0.047
d1073,0.0363
d1074,0
d1075,0
d1076,0.23
d1077,0.0183
d1078,0.0765
d1079,0.0419
d1080,0.39
d1081,0.0928
d1082,0.0225
d1083,0.0381
d1084,0.0489
d1085,2.729
d1086,0.0248
d1087,0.1076
d1088,0.0678
d1089,0.0553
d1090,2.7205
d1091,0.0387
d1092,0.128
d1093,1.3
d1094,0.04566
d1095,0.2657
d1096,0
d1097,0
d1098,0.0508
d1099,0
d1100,0.0274
d1101,0.0735
d1102,1.911
d1103,0.0742
d1104,0.1648
d1105,0.074
d1106,0.54
d1107,0.066
d1108,0
d1109,0.037
d1110,0.1188
d1111,0.1189
d1112,0.0465
d1113,0.0535
d1114,0.124
d1115,0.449
d1116,0.0369
d1117,0.1238
d1118,0.067
d1119,0.1202
d1120,0.479
d1121,1.29
d1122,0.08
d1123,0.0626
d1124,0.3982
d1125,0.1066
d1126,0.0813
d1127,0.568
d1128,0.0385
d1129,0
d1130,0.06
d1131,0.7308
d1132,0.0366
d1133,2.02
d1134,0.095
d1135,0.2288
d1136,1
d1137,0.1243
d1138,0.0488
d1139,0.1106
d1140,0.1622
d1141,0.0994
d1142,0.198
d1143,0.2113
d1144,0.3094
d1145,0.1902
d1146,0.1012
d1147,0.0435
d1148,0.39
d1149,0.2273
d1150,0.1586
d1151,0.2956
d1152,0.1399
d1153,0.0192
d1154,0.0628
d1155,0.5183
d1156,0
d1157,0.1558
d1158,0.0341
d1159,0.038
d1160,0.0777
d1161,0.0988
d1162,0.042
d1163,0.168
d1164,0.046
d1165,0.071
d1166,0.5416
d1167,0.24
d1168,0.0507
d1169,0.0461
d1170,0.0993
d1171,0.028
d1172,0.0759
d1173,0.1231
d1174,0.04288
d1175,0.1015
d1176,0.1263
d1177,0.0241
d1178,0.4808
d1179,0.1635
d1180,0.161
d1181,0.0654
d1182,0
d1183,0.1444
d1184,0.3751
d1185,0.16
d1186,0.014
d1187,0.2926
d1188,0.2526
d1189,0.3608
d1190,0.0609
d1191,0.02047
d1192,0.1295
d1193,0.0284
d1194,0.141
d1195,0.389
d1196,0.522
d1197,0.15
d1198,0.0748
d1199,0.0791
d1200,0.116
d1201,0.0369
d1202,0.0493
d1203,0.5948
d1204,0.98
d1205,1.92
d1206,1.4877
d1207,0.1339
d1208,0.2101
d1209,0.149
d1210,0.2016
d1211,0.1155
d1212,0.06
d1213,0.0163
d1214,0.0965
d1215,0.047
d1216,0.0991
d1217,0.0449
d1218,0.097
d1219,0
d1220,0
d1221,1.18
d1222,0.4092
d1223,0.1371
d1224,0.1506
d1225,0.2
d1226,0.0864
d1227,0.1236
d1228,0.0432
d1229,0.0557
d1230,0.0711
d1231,0
d1232,0.181
d1233,0.0528
d1234,0.10725
d1235,0.5125
d1236,0.2722
d1237,0.093
d1238,0.1357
d1239,0.0699
d1240,0.158
d1241,0
d1242,0
d1243,0.0602
d1244,0.112
d1245,0.163
d1246,0.2014
d1247,0
d1248,0.05
d1249,0.0887
d1250,0
d1251,0.0617
d1252,0.0514
d1253,0.05092
d1254,0.1063
d1255,0.02925
d1256,0
d1257,0.0154
d1258,0.1
d1259,0.286
d1260,0.0568
d1261,0.1046
d1262,0.1902
d1263,4.974
d1264,0.1174
d1265,3.282
d1266,0.087
d1267,0.019
d1268,0.0525
d1269,0.079
d1270,0.0203
d1271,0.2006
d1272,0.4358
d1273,0.109
d1274,0.2288
d1275,0.0679
d1276,0.074
d1277,0.0484
d1278,0.332
d1279,0
d1280,0.0393
d1281,2.156
d1282,1.282
d1283,0.1187
d1284,0.1065
d1285,0.0213
d1286,6.4898
d1287,0
d1288,0.5791
d1289,0
d1290,0
d1291,0.0793
d1292,0.2244
d1293,0
d1294,23
d1295,0
d1296,0.2623
d1297,0.471
d1298,0.044
d1299,0
d1300,0.2564
d1301,0
d1302,0.043
d1303,0.0474
d1304,2.153
d1305,0.0187
d1306,0
d1307,0.0143
d1308,0
d1309,0.1289
d1310,0.072
d1311,0.0483
d1312,0.035
d1313,0.048
d1314,0.2181
d1315,0.1449
d1316,0.0366
d1317,2.42
d1318,0
d1319,0.086
d1320,0.409
d1321,0
d1322,0.046
d1323,0.112
d1324,2.39
d1325,0.332
d1326,0.275
d1327,0.034
d1328,0
d1329,0.019
d1330,0.1148
d1331,0.03784
d1332,0.0386
d1333,0.0457
d1334,0.0298
d1335,0.4198
d1336,0.0751
d1337,0.112293
d1338,0.1066
d1339,0.2691
d1340,0.019
d1341,0.046
d1342,0.093
d1343,0.21
d1344,0
d1345,0
d1346,0.0509
d1347,0
d1348,1.2
d1349,0.05
d1350,0.151
d1351,0.2952
d1352,0.1183
d1353,0
d1354,0.349
d1355,0
d1356,0.08
d1357,0.1721
d1358,0
d1359,0.0426
d1360,0.1699
d1361,0.18
d1362,2.1
d1363,0.025
d1364,4.417
d1365,0.1046
d1366,0.0385
